Rk;Player;Pos;Age;Tm;G;GS;MP;FG;FGA;FG%;3P;3PA;3P%;2P;2PA;2P%;eFG%;FT;FTA;FT%;ORB;DRB;TRB;AST;STL;BLK;TOV;PF;PTS
269;T.J. McConnell;PG;30;IND;10;0;15.7;1.9;5;0.38;0;0.2;0;1.9;4.8;0.396;0.38;0.2;0.3;0.667;0.6;1.7;2.3;3;1.2;0.3;1.5;1.1;4
270;Jaden McDaniels;PF;22;MIN;12;12;29.2;4.4;7.7;0.576;0.8;2.5;0.333;3.6;5.2;0.694;0.63;1.4;1.8;0.81;1.4;2;3.4;1.3;1.1;1.3;1.8;3.4;11.1
271;Jalen McDaniels;SF;25;CHO;12;1;25.6;3.5;8.5;0.412;1.3;3.5;0.381;2.2;5;0.433;0.49;1.1;1.3;0.867;1.3;4;5.3;2.2;1.3;0.7;1.3;2.6;9.4
272;Doug McDermott;SF;31;SAS;12;0;20.8;3.7;8.3;0.44;2;5;0.4;1.7;3.3;0.5;0.56;0.7;1;0.667;0.3;1.9;2.2;1.4;0;0.2;0.8;1.6;10
273;JaVale McGee;C;35;DAL;9;7;9.7;1.7;3.1;0.536;0;0;0;1.7;3.1;0.536;0.536;1;1.7;0.6;1.1;1.9;3;0.2;0.3;0.4;1;1;4.3
274;Bryce McGowens;SG;20;CHO;5;0;6;1;1.8;0.556;0.2;0.6;0.333;0.8;1.2;0.667;0.611;1;1;1;0;0.4;0.4;0.2;0.4;0.2;0.2;0.2;3.2
275;Rodney McGruder;SG;31;DET;5;0;4.2;0.2;1.4;0.143;0.2;0.8;0.25;0;0.6;0;0.214;0.4;0.4;1;0.4;0.4;0.8;0.2;0;0;0;0.2;1
276;Jordan McLaughlin;PG;26;MIN;10;0;16.5;1.4;3.5;0.4;0.2;1.8;0.111;1.2;1.7;0.706;0.429;0.6;0.6;1;0.2;1.8;2;3.8;0.6;0.1;0.6;0.6;3.6
277;De'Anthony Melton;PG;24;PHI;10;4;24.4;3.7;8.5;0.435;1.5;4.4;0.341;2.2;4.1;0.537;0.524;0.5;0.7;0.714;0.8;2.7;3.5;2.9;1.9;0.5;0.7;1.8;9.4
278;Chimezie Metu;C;25;SAC;6;0;10.5;1.3;3;0.444;0;0.8;0;1.3;2.2;0.615;0.444;0.7;0.7;1;0;2.2;2.2;1.3;0.2;0.2;0.2;0.8;3.3
279;Patty Mills;PG;34;BRK;12;0;13;1.8;4.1;0.429;1.3;3.3;0.41;0.4;0.8;0.5;0.592;0.8;0.8;1;0.2;0.6;0.8;0.8;0.2;0.1;0.3;0.6;5.7
280;Shake Milton;SG;26;PHI;7;0;10.7;1.3;3.3;0.391;0.1;0.7;0.2;1.1;2.6;0.444;0.413;0.3;0.3;1;0.4;1.1;1.6;1.1;0;0.1;1.3;1.6;3
281;Davion Mitchell;PG;24;SAC;10;1;19.2;3;6.5;0.462;1.1;3.2;0.344;1.9;3.3;0.576;0.546;0.2;0.3;0.667;0;1.5;1.5;2;0.6;0;1.6;1.8;7.3
282;Donovan Mitchell;SG;26;CLE;10;10;39.2;11.3;22;0.514;4.3;9.6;0.448;7;12.4;0.565;0.611;5;5.8;0.862;1.1;3.1;4.2;5.8;1.3;0.6;3.4;3.2;31.9
283;Evan Mobley;PF;21;CLE;11;11;33.6;6.3;11.1;0.566;0.2;1;0.182;6.1;10.1;0.604;0.574;2.5;3.4;0.757;1.6;4.9;6.5;1.9;0.9;1.5;2.3;3;15.3
284;Isaiah Mobley;PF;23;CLE;1;0;4;1;1;1;1;1;1;0;0;0;1.5;0;0;0;0;1;1;0;0;0;0;1;3
285;Chima Moneke;SF;27;SAC;1;0;6;0;1;0;0;0;0;0;1;0;0;0;2;0;2;0;2;1;0;0;0;2;0
286;Malik Monk;SG;24;SAC;10;0;21.6;4.1;9.7;0.423;2.3;6;0.383;1.8;3.7;0.486;0.541;1.7;1.9;0.895;0.4;2.1;2.5;4.4;0.5;0.4;1.4;1.6;12.2
287;Moses Moody;SG;20;GSW;11;1;16.9;2;4.9;0.407;1.1;3.1;0.353;0.9;1.8;0.5;0.519;1.1;1.4;0.8;0.5;1.7;2.2;0.5;0.5;0.5;1.4;1.2;6.2
